ash_total,day_0_ash,day_0_early_dd,day_0_final_pos_ash,day_0_final_pos_pepper,day_0_pepper,day_0_total,day_0_trades,day_0_ttp_ash,day_0_ttp_pepper,day_m1_ash,day_m1_early_dd,day_m1_final_pos_ash,day_m1_final_pos_pepper,day_m1_pepper,day_m1_total,day_m1_trades,day_m1_ttp_ash,day_m1_ttp_pepper,day_m2_ash,day_m2_early_dd,day_m2_final_pos_ash,day_m2_final_pos_pepper,day_m2_pepper,day_m2_total,day_m2_trades,day_m2_ttp_ash,day_m2_ttp_pepper,delta_vs_v52,delta_vs_v54,name,path,pepper_avg_buy,pepper_total,stage,total,trade_count,worst_drawdown,worst_early_drawdown
54148.5,17881.0,0.0,-45,80,79397.0,97278.0,681,,,18572.0,0.0,16,80,79368.0,97940.0,702,,,17695.5,0.0,51,80,79644.0,97339.5,706,,,2315.0,37.0,TradervR1_ABL_pepper_cheap_accum_off,Bots/Round1/robustness/TradervR1_ABL_pepper_cheap_accum_off.py,11006.4625,238409.0,StageC,292557.5,2089,0.0,0.0
54148.5,17881.0,0.0,-45,80,79397.0,97278.0,681,,,18572.0,0.0,16,80,79368.0,97940.0,702,,,17695.5,0.0,51,80,79644.0,97339.5,706,,,2315.0,37.0,TradervR1_ABL_join_off,Bots/Round1/robustness/TradervR1_ABL_join_off.py,11006.4625,238409.0,StageC,292557.5,2089,0.0,0.0
54148.5,17881.0,0.0,-45,80,79397.0,97278.0,681,,,18572.0,0.0,16,80,79368.0,97940.0,702,,,17695.5,0.0,51,80,79644.0,97339.5,706,,,2315.0,37.0,TradervR1_SENS_up,Bots/Round1/robustness/TradervR1_SENS_up.py,11006.4625,238409.0,Sensitivity,292557.5,2089,0.0,0.0
54148.5,17881.0,0.0,-45,80,79397.0,97278.0,681,,,18572.0,0.0,16,80,79368.0,97940.0,702,,,17695.5,0.0,51,80,79644.0,97339.5,706,,,2315.0,37.0,TradervR1_SENS_down,Bots/Round1/robustness/TradervR1_SENS_down.py,11006.4625,238409.0,Sensitivity,292557.5,2089,0.0,0.0
54148.5,17881.0,0.0,-45,80,79397.0,97278.0,681,,,18572.0,0.0,16,80,79368.0,97940.0,702,,,17695.5,0.0,51,80,79644.0,97339.5,706,,,2315.0,37.0,TradervR1_SENS_rounded,Bots/Round1/robustness/TradervR1_SENS_rounded.py,11006.4625,238409.0,Sensitivity,292557.5,2089,0.0,0.0
54111.5,17905.0,0.0,-43,80,79397.0,97302.0,681,,,18582.0,0.0,17,80,79368.0,97950.0,703,,,17624.5,0.0,45,80,79644.0,97268.5,703,,,2278.0,0.0,TradervR1_R60_OS1_mild,Bots/Round1/robustness/TradervR1_R60_OS1_mild.py,11006.4625,238409.0,StageA,292520.5,2087,0.0,0.0
54101.5,17895.0,0.0,-45,80,79397.0,97292.0,683,,,18582.0,0.0,17,80,79368.0,97950.0,703,,,17624.5,0.0,45,80,79644.0,97268.5,703,,,2268.0,-10.0,TradervR1_R55_OA3_shape_only,Bots/Round1/robustness/TradervR1_R55_OA3_shape_only.py,11006.4625,238409.0,StageA,292510.5,2089,0.0,0.0
54072.5,17862.0,0.0,-43,80,79397.0,97259.0,679,,,18594.0,0.0,17,80,79368.0,97962.0,698,,,17616.5,0.0,45,80,79644.0,97260.5,701,,,2239.0,-39.0,TradervR1_R55_OA1_light,Bots/Round1/robustness/TradervR1_R55_OA1_light.py,11006.4625,238409.0,StageA,292481.5,2078,0.0,0.0
54033.0,17863.0,0.0,-42,80,79397.0,97260.0,681,,,18590.0,0.0,14,80,79368.0,97958.0,704,,,17580.0,0.0,46,80,79644.0,97224.0,713,,,2199.5,-78.5,TradervR1_R56_OC2_coarse,Bots/Round1/robustness/TradervR1_R56_OC2_coarse.py,11006.4625,238409.0,StageA,292442.0,2098,0.0,0.0
54029.5,17842.0,0.0,-43,80,79397.0,97239.0,679,,,18594.0,0.0,17,80,79368.0,97962.0,698,,,17593.5,0.0,47,80,79644.0,97237.5,701,,,2196.0,-82.0,TradervR1_R55_OA2_medium,Bots/Round1/robustness/TradervR1_R55_OA2_medium.py,11006.4625,238409.0,StageA,292438.5,2078,0.0,0.0
53998.5,17872.0,0.0,-42,80,79397.0,97269.0,678,,,18542.0,0.0,17,80,79368.0,97910.0,701,,,17584.5,0.0,49,80,79644.0,97228.5,710,,,2165.0,-113.0,TradervR1_R57_OL1_soft,Bots/Round1/robustness/TradervR1_R57_OL1_soft.py,11006.4625,238409.0,StageA,292407.5,2089,0.0,0.0
53744.0,17738.0,0.0,-37,80,79397.0,97135.0,680,,,18544.0,0.0,13,80,79368.0,97912.0,695,,,17462.0,0.0,54,80,79644.0,97106.0,704,,,1910.5,-367.5,TradervR1_R57_OL2_balanced,Bots/Round1/robustness/TradervR1_R57_OL2_balanced.py,11006.4625,238409.0,StageA,292153.0,2079,0.0,0.0
52721.5,17328.0,0.0,-42,80,79397.0,96725.0,666,,,18210.0,0.0,16,80,79368.0,97578.0,690,,,17183.5,0.0,53,80,79644.0,96827.5,693,,,888.0,-1390.0,TradervR1_R57_OL3_safe,Bots/Round1/robustness/TradervR1_R57_OL3_safe.py,11006.4625,238409.0,StageA,291130.5,2049,0.0,0.0
43203.0,14423.0,0.0,-41,80,79397.0,93820.0,374,,,14815.0,0.0,58,80,79368.0,94183.0,386,,,13965.0,0.0,52,80,79644.0,93609.0,372,,,-8630.5,-10908.5,TradervR1_R59_OR1_light,Bots/Round1/robustness/TradervR1_R59_OR1_light.py,11006.4625,238409.0,StageA,281612.0,1132,0.0,0.0
